weekday,weekday_name,slot_index,mean_v
2,Wed,6,8.862045
2,Wed,7,8.731136
2,Wed,8,8.312955
2,Wed,9,7.824318
2,Wed,10,7.195227
2,Wed,11,6.436364
2,Wed,12,5.657727
2,Wed,13,4.857727
2,Wed,14,4.156591
2,Wed,15,3.488409
2,Wed,16,2.901591
2,Wed,17,2.450909
2,Wed,18,2.113409
2,Wed,19,1.883864
2,Wed,20,1.8175
2,Wed,21,1.746818
2,Wed,22,1.761591
2,Wed,23,1.898409
2,Wed,24,2.009773
2,Wed,25,2.2575
2,Wed,26,2.554318
2,Wed,27,2.8575
2,Wed,28,3.254318
2,Wed,29,3.588864
2,Wed,30,4.015682
2,Wed,31,4.391591
2,Wed,32,4.728864
2,Wed,33,5.076364
2,Wed,34,5.432045
2,Wed,35,5.686591
2,Wed,36,5.929545
2,Wed,37,6.013636
2,Wed,38,6.038182
2,Wed,39,6.0
2,Wed,40,5.921364
2,Wed,41,5.742045
2,Wed,42,5.448864
2,Wed,43,5.135909
2,Wed,44,4.795682
2,Wed,45,4.460682
2,Wed,46,4.095682
2,Wed,47,3.694091
2,Wed,48,3.359091
2,Wed,49,3.022955
2,Wed,50,2.786818
2,Wed,51,2.532273
2,Wed,52,2.34
2,Wed,53,2.2325
2,Wed,54,2.125227
2,Wed,55,2.115682
2,Wed,56,2.164773
2,Wed,57,2.285
2,Wed,58,2.375682
2,Wed,59,2.576136
2,Wed,60,2.873182
2,Wed,61,3.107955
2,Wed,62,3.405909
2,Wed,63,3.834545
2,Wed,64,4.139091
2,Wed,65,4.503182
2,Wed,66,4.919318
2,Wed,67,5.324773
2,Wed,68,5.727955
2,Wed,69,6.120909
2,Wed,70,6.495227
2,Wed,71,6.815227
2,Wed,72,7.077045
2,Wed,73,7.3325
2,Wed,74,7.476818
2,Wed,75,7.591818
2,Wed,76,7.610909
2,Wed,77,7.533636
2,Wed,78,7.492955
2,Wed,79,7.303864
2,Wed,80,7.104545
2,Wed,81,6.779091
2,Wed,82,6.541591
2,Wed,83,6.155
2,Wed,84,5.858864
2,Wed,85,5.464545
2,Wed,86,5.156136
2,Wed,87,4.858409
2,Wed,88,4.659091
2,Wed,89,4.507955
2,Wed,90,4.418636
2,Wed,91,4.455227
2,Wed,92,4.693182
2,Wed,93,4.987727
2,Wed,94,5.368182
2,Wed,95,5.904091
3,Thu,0,6.518636
3,Thu,1,7.085682
3,Thu,2,7.678409
3,Thu,3,8.203636
3,Thu,4,8.602045
3,Thu,5,8.861818
3,Thu,6,8.876818
3,Thu,7,8.745227
3,Thu,8,8.346818
3,Thu,9,7.833409
3,Thu,10,7.188409
3,Thu,11,6.402955
3,Thu,12,5.607273
3,Thu,13,4.856136
3,Thu,14,4.106591
3,Thu,15,3.476818
3,Thu,16,2.895682
3,Thu,17,2.456591
3,Thu,18,2.094545
3,Thu,19,1.913864
3,Thu,20,1.794773
3,Thu,21,1.675682
3,Thu,22,1.754318
3,Thu,23,1.854773
3,Thu,24,2.043864
3,Thu,25,2.296136
3,Thu,26,2.575227
3,Thu,27,2.858636
3,Thu,28,3.232727
3,Thu,29,3.577045
3,Thu,30,3.957727
3,Thu,31,4.306364
3,Thu,32,4.791591
3,Thu,33,5.096818
3,Thu,34,5.421818
3,Thu,35,5.711364
3,Thu,36,5.9075
3,Thu,37,5.955455
3,Thu,38,6.049091
3,Thu,39,6.014091
3,Thu,40,5.909773
3,Thu,41,5.677727
3,Thu,42,5.461591
3,Thu,43,5.151364
3,Thu,44,4.806364
3,Thu,45,4.44
3,Thu,46,4.097727
3,Thu,47,3.701136
3,Thu,48,3.336591
3,Thu,49,3.035
3,Thu,50,2.756591
3,Thu,51,2.542273
3,Thu,52,2.344773
3,Thu,53,2.245227
3,Thu,54,2.129773
3,Thu,55,2.105909
3,Thu,56,2.130909
3,Thu,57,2.261591
3,Thu,58,2.372273
3,Thu,59,2.582045
3,Thu,60,2.844773
3,Thu,61,3.092955
3,Thu,62,3.424091
3,Thu,63,3.785455
3,Thu,64,4.182273
3,Thu,65,4.548864
3,Thu,66,4.947273
3,Thu,67,5.362045
3,Thu,68,5.745909
3,Thu,69,6.145682
3,Thu,70,6.483182
3,Thu,71,6.806818
3,Thu,72,7.104545
3,Thu,73,7.316818
3,Thu,74,7.466591
3,Thu,75,7.584091
3,Thu,76,7.570682
3,Thu,77,7.542273
3,Thu,78,7.493864
3,Thu,79,7.296364
3,Thu,80,7.101818
3,Thu,81,6.802045
3,Thu,82,6.518636
3,Thu,83,6.193409
3,Thu,84,5.842955
3,Thu,85,5.526364
3,Thu,86,5.181591
3,Thu,87,4.820909
3,Thu,88,4.630227
3,Thu,89,4.480682
3,Thu,90,4.435227
3,Thu,91,4.487273
3,Thu,92,4.653409
3,Thu,93,4.9675
3,Thu,94,5.378864
3,Thu,95,5.894545
4,Fri,0,6.475581
4,Fri,1,7.096047
4,Fri,2,7.642093
4,Fri,3,8.227209
4,Fri,4,8.592558
4,Fri,5,8.814419
4,Fri,6,8.852558
4,Fri,7,8.752558
4,Fri,8,8.336977
4,Fri,9,7.850465
4,Fri,10,7.171163
4,Fri,11,6.436279
4,Fri,12,5.57907
4,Fri,13,4.841163
4,Fri,14,4.123023
4,Fri,15,3.448837
4,Fri,16,2.87907
4,Fri,17,2.462093
4,Fri,18,2.110465
4,Fri,19,1.916512
4,Fri,20,1.780233
4,Fri,21,1.74186
4,Fri,22,1.754419
4,Fri,23,1.884186
4,Fri,24,2.024884
4,Fri,25,2.284419
4,Fri,26,2.538372
4,Fri,27,2.890233
4,Fri,28,3.229767
4,Fri,29,3.607209
4,Fri,30,3.98
4,Fri,31,4.394186
4,Fri,32,4.726047
4,Fri,33,5.126047
4,Fri,34,5.403256
4,Fri,35,5.653953
4,Fri,36,5.943023
4,Fri,37,6.026977
4,Fri,38,6.053256
4,Fri,39,5.935581
4,Fri,40,5.898837
4,Fri,41,5.66
4,Fri,42,5.395814
4,Fri,43,5.153953
4,Fri,44,4.827907
4,Fri,45,4.445814
4,Fri,46,4.051163
4,Fri,47,3.691163
4,Fri,48,3.337442
4,Fri,49,3.043953
4,Fri,50,2.772558
4,Fri,51,2.504419
4,Fri,52,2.360465
4,Fri,53,2.213488
4,Fri,54,2.099767
4,Fri,55,2.133953
4,Fri,56,2.176047
4,Fri,57,2.236047
4,Fri,58,2.373023
4,Fri,59,2.564186
4,Fri,60,2.822093
4,Fri,61,3.122791
4,Fri,62,3.39814
4,Fri,63,3.76186
4,Fri,64,4.146977
4,Fri,65,4.545116
4,Fri,66,4.953256
4,Fri,67,5.326279
4,Fri,68,5.767209
4,Fri,69,6.138605
4,Fri,70,6.460698
4,Fri,71,6.752791
4,Fri,72,7.091163
4,Fri,73,7.269535
4,Fri,74,7.443256
4,Fri,75,7.513953
4,Fri,76,7.585814
4,Fri,77,7.584419
4,Fri,78,7.399535
4,Fri,79,7.293256
4,Fri,80,7.045116
4,Fri,81,6.803023
4,Fri,82,6.493023
4,Fri,83,6.154884
4,Fri,84,5.836279
4,Fri,85,5.452326
4,Fri,86,5.143953
4,Fri,87,4.836279
4,Fri,88,4.622558
4,Fri,89,4.446744
4,Fri,90,4.408372
4,Fri,91,4.451628
4,Fri,92,4.667442
4,Fri,93,4.924419
4,Fri,94,5.345814
4,Fri,95,5.887674
5,Sat,0,5.966512
5,Sat,1,6.183953
5,Sat,2,6.52907
5,Sat,3,6.790465
5,Sat,4,7.075814
5,Sat,5,7.294884
5,Sat,6,7.45186
5,Sat,7,7.520233
5,Sat,8,7.55814
5,Sat,9,7.54093
5,Sat,10,7.36
5,Sat,11,7.136047
5,Sat,12,6.807209
5,Sat,13,6.446977
5,Sat,14,6.019767
5,Sat,15,5.608605
5,Sat,16,5.133023
5,Sat,17,4.705814
5,Sat,18,4.313953
5,Sat,19,3.900698
5,Sat,20,3.552558
5,Sat,21,3.240233
5,Sat,22,2.976977
5,Sat,23,2.78186
5,Sat,24,2.637674
5,Sat,25,2.528605
5,Sat,26,2.489535
5,Sat,27,2.483023
5,Sat,28,2.541628
5,Sat,29,2.616279
5,Sat,30,2.678605
5,Sat,31,2.819767
5,Sat,32,2.979535
5,Sat,33,3.196512
5,Sat,34,3.361163
5,Sat,35,3.670698
5,Sat,36,3.877674
5,Sat,37,4.156279
5,Sat,38,4.452558
5,Sat,39,4.721628
5,Sat,40,5.035581
5,Sat,41,5.367674
5,Sat,42,5.663023
5,Sat,43,5.983721
5,Sat,44,6.277907
5,Sat,45,6.535581
5,Sat,46,6.890698
5,Sat,47,7.19
5,Sat,48,7.439535
5,Sat,49,7.668837
5,Sat,50,7.86907
5,Sat,51,8.045116
5,Sat,52,8.274419
5,Sat,53,8.373256
5,Sat,54,8.469302
5,Sat,55,8.520698
5,Sat,56,8.613721
5,Sat,57,8.608372
5,Sat,58,8.61186
5,Sat,59,8.544186
5,Sat,60,8.497907
5,Sat,61,8.432558
5,Sat,62,8.319767
5,Sat,63,8.314186
5,Sat,64,8.180465
5,Sat,65,8.11
5,Sat,66,8.152326
5,Sat,67,8.103488
5,Sat,68,8.139302
5,Sat,69,8.155814
5,Sat,70,8.243488
5,Sat,71,8.373953
5,Sat,72,8.49093
5,Sat,73,8.631395
5,Sat,74,8.777442
5,Sat,75,8.862558
5,Sat,76,8.908605
5,Sat,77,8.91814
5,Sat,78,8.976744
5,Sat,79,8.872791
5,Sat,80,8.704884
5,Sat,81,8.490465
5,Sat,82,8.257442
5,Sat,83,7.935814
5,Sat,84,7.544186
5,Sat,85,7.203953
5,Sat,86,6.829302
5,Sat,87,6.440233
5,Sat,88,6.106512
5,Sat,89,5.83093
5,Sat,90,5.572326
5,Sat,91,5.464186
5,Sat,92,5.369535
5,Sat,93,5.395116
5,Sat,94,5.523023
5,Sat,95,5.681163
6,Sun,0,5.919767
6,Sun,1,6.163488
6,Sun,2,6.503023
6,Sun,3,6.739535
6,Sun,4,7.063721
6,Sun,5,7.245814
6,Sun,6,7.416279
6,Sun,7,7.523256
6,Sun,8,7.566279
6,Sun,9,7.468837
6,Sun,10,7.334651
6,Sun,11,7.114419
6,Sun,12,6.782093
6,Sun,13,6.422791
6,Sun,14,6.012093
6,Sun,15,5.584419
6,Sun,16,5.159535
6,Sun,17,4.656047
6,Sun,18,4.279302
6,Sun,19,3.872326
6,Sun,20,3.547442
6,Sun,21,3.223488
6,Sun,22,2.983023
6,Sun,23,2.772791
6,Sun,24,2.641395
6,Sun,25,2.533023
6,Sun,26,2.472326
6,Sun,27,2.465581
6,Sun,28,2.48
6,Sun,29,2.608837
6,Sun,30,2.705581
6,Sun,31,2.810465
6,Sun,32,2.990465
6,Sun,33,3.180465
6,Sun,34,3.39907
6,Sun,35,3.620698
6,Sun,36,3.88093
6,Sun,37,4.115349
6,Sun,38,4.472093
6,Sun,39,4.714884
6,Sun,40,5.023953
6,Sun,41,5.341628
6,Sun,42,5.645814
6,Sun,43,6.02
6,Sun,44,6.323256
6,Sun,45,6.575349
6,Sun,46,6.879535
6,Sun,47,7.193488
6,Sun,48,7.443721
6,Sun,49,7.600465
6,Sun,50,7.857907
6,Sun,51,8.033488
6,Sun,52,8.237674
6,Sun,53,8.343256
6,Sun,54,8.442093
6,Sun,55,8.542791
6,Sun,56,8.573256
6,Sun,57,8.586047
6,Sun,58,8.537209
6,Sun,59,8.518605
6,Sun,60,8.46
6,Sun,61,8.394419
6,Sun,62,8.313721
6,Sun,63,8.229302
6,Sun,64,8.187674
6,Sun,65,8.16814
6,Sun,66,8.132093
6,Sun,67,8.099535
6,Sun,68,8.094884
6,Sun,69,8.194186
6,Sun,70,8.294651
6,Sun,71,8.354884
6,Sun,72,8.453256
6,Sun,73,8.642326
6,Sun,74,8.725581
6,Sun,75,8.822558
6,Sun,76,8.897674
6,Sun,77,8.935116
6,Sun,78,8.881395
6,Sun,79,8.842326
6,Sun,80,8.665116
6,Sun,81,8.507907
6,Sun,82,8.179535
6,Sun,83,7.904419
6,Sun,84,7.549302
6,Sun,85,7.152326
6,Sun,86,6.794419
6,Sun,87,6.37814
6,Sun,88,6.112791
6,Sun,89,5.805581
6,Sun,90,5.574186
6,Sun,91,5.437442
6,Sun,92,5.377442
6,Sun,93,5.393256
6,Sun,94,5.530465
6,Sun,95,5.699302
